[30 05:46:42 130@hack.py:Hack] Episode 0/1000, Total Reward: 0.0
[30 05:53:37 130@hack.py:Hack] Episode 73/1000, Total Reward: 0.0
[30 05:53:43 130@hack.py:Hack] Episode 74/1000, Total Reward: 0.0
[30 05:53:49 130@hack.py:Hack] Episode 75/1000, Total Reward: 0.0
[30 05:53:55 130@hack.py:Hack] Episode 76/1000, Total Reward: 0.0
[30 05:54:01 130@hack.py:Hack] Episode 77/1000, Total Reward: 0.0
[30 05:54:07 130@hack.py:Hack] Episode 78/1000, Total Reward: 0.0
[30 05:54:12 130@hack.py:Hack] Episode 79/1000, Total Reward: 0.0
[30 05:54:18 130@hack.py:Hack] Episode 80/1000, Total Reward: 0.0
[30 05:54:24 130@hack.py:Hack] Episode 81/1000, Total Reward: 0.0
[30 05:54:30 130@hack.py:Hack] Episode 82/1000, Total Reward: -0.22000000000000006
[30 05:54:36 130@hack.py:Hack] Episode 83/1000, Total Reward: -0.2900000000000001
[30 05:54:42 130@hack.py:Hack] Episode 84/1000, Total Reward: 0.0
[30 05:54:48 130@hack.py:Hack] Episode 85/1000, Total Reward: 0.0
[30 05:54:54 130@hack.py:Hack] Episode 86/1000, Total Reward: 0.0
[30 05:54:59 130@hack.py:Hack] Episode 87/1000, Total Reward: 0.0
[30 05:55:05 130@hack.py:Hack] Episode 88/1000, Total Reward: 0.0
[30 05:55:11 130@hack.py:Hack] Episode 89/1000, Total Reward: 0.0
[30 05:55:17 130@hack.py:Hack] Episode 90/1000, Total Reward: 0.0
[30 05:55:22 130@hack.py:Hack] Episode 91/1000, Total Reward: 0.0
[30 05:55:28 130@hack.py:Hack] Episode 92/1000, Total Reward: 0.0
[30 05:55:34 130@hack.py:Hack] Episode 93/1000, Total Reward: 0.0
[30 05:55:40 130@hack.py:Hack] Episode 94/1000, Total Reward: -0.11999999999999998
[30 05:55:45 130@hack.py:Hack] Episode 95/1000, Total Reward: 0.0
[30 05:55:51 130@hack.py:Hack] Episode 96/1000, Total Reward: 0.0
[30 05:55:56 130@hack.py:Hack] Episode 97/1000, Total Reward: 0.0
[30 05:56:02 130@hack.py:Hack] Episode 98/1000, Total Reward: -0.09
[30 05:56:07 130@hack.py:Hack] Episode 99/1000, Total Reward: -0.24000000000000007
[30 05:56:13 130@hack.py:Hack] Episode 100/1000, Total Reward: 0.0
[30 05:56:18 130@hack.py:Hack] Episode 101/1000, Total Reward: 0.0
[30 05:56:23 130@hack.py:Hack] Episode 102/1000, Total Reward: -0.23000000000000007
[30 05:56:29 130@hack.py:Hack] Episode 103/1000, Total Reward: -0.25000000000000006
[30 05:56:35 130@hack.py:Hack] Episode 104/1000, Total Reward: -0.19000000000000003
[30 05:56:42 130@hack.py:Hack] Episode 105/1000, Total Reward: 0.0
[30 05:56:48 130@hack.py:Hack] Episode 106/1000, Total Reward: 0.0
[30 05:56:54 130@hack.py:Hack] Episode 107/1000, Total Reward: 0.0
[30 05:57:00 130@hack.py:Hack] Episode 108/1000, Total Reward: 0.0
[30 05:57:05 130@hack.py:Hack] Episode 109/1000, Total Reward: 0.0
[30 05:57:11 130@hack.py:Hack] Episode 110/1000, Total Reward: 0.0
[30 05:57:16 130@hack.py:Hack] Episode 111/1000, Total Reward: 0.0
[30 05:57:22 130@hack.py:Hack] Episode 112/1000, Total Reward: 0.0
[30 05:57:27 130@hack.py:Hack] Episode 113/1000, Total Reward: -0.25000000000000006
[30 05:57:33 130@hack.py:Hack] Episode 114/1000, Total Reward: 0.0
[30 05:57:38 130@hack.py:Hack] Episode 115/1000, Total Reward: 0.0
[30 05:57:44 130@hack.py:Hack] Episode 116/1000, Total Reward: 0.0
[30 05:57:49 130@hack.py:Hack] Episode 117/1000, Total Reward: 0.0
[30 05:57:55 130@hack.py:Hack] Episode 118/1000, Total Reward: 0.0
[30 05:58:00 130@hack.py:Hack] Episode 119/1000, Total Reward: 0.0
[30 05:58:06 130@hack.py:Hack] Episode 120/1000, Total Reward: 0.0
[30 05:58:11 130@hack.py:Hack] Episode 121/1000, Total Reward: 0.0
[30 05:58:17 130@hack.py:Hack] Episode 122/1000, Total Reward: 0.0
[30 05:58:22 130@hack.py:Hack] Episode 123/1000, Total Reward: 0.0
[30 05:58:26 130@hack.py:Hack] Episode 124/1000, Total Reward: 1.0
[30 05:58:31 130@hack.py:Hack] Episode 125/1000, Total Reward: 0.0
[30 05:58:37 130@hack.py:Hack] Episode 126/1000, Total Reward: 0.0
[30 05:58:42 130@hack.py:Hack] Episode 127/1000, Total Reward: 0.0
[30 05:58:48 130@hack.py:Hack] Episode 128/1000, Total Reward: 0.0
[30 05:58:54 130@hack.py:Hack] Episode 129/1000, Total Reward: -0.23000000000000007
[30 05:59:00 130@hack.py:Hack] Episode 130/1000, Total Reward: -0.19000000000000003
[30 05:59:05 130@hack.py:Hack] Episode 131/1000, Total Reward: 0.0
[30 05:59:11 130@hack.py:Hack] Episode 132/1000, Total Reward: 0.0
[30 05:59:17 130@hack.py:Hack] Episode 133/1000, Total Reward: -0.01
[30 05:59:22 130@hack.py:Hack] Episode 134/1000, Total Reward: -0.05
[30 05:59:28 130@hack.py:Hack] Episode 135/1000, Total Reward: -0.20000000000000004
[30 05:59:34 130@hack.py:Hack] Episode 136/1000, Total Reward: 0.0
[30 05:59:39 130@hack.py:Hack] Episode 137/1000, Total Reward: -0.09
[30 05:59:44 130@hack.py:Hack] Episode 138/1000, Total Reward: -0.26000000000000006
[30 05:59:50 130@hack.py:Hack] Episode 139/1000, Total Reward: 0.0
[30 05:59:55 130@hack.py:Hack] Episode 140/1000, Total Reward: 0.0
[30 06:00:01 130@hack.py:Hack] Episode 141/1000, Total Reward: 0.0
[30 06:00:06 130@hack.py:Hack] Episode 142/1000, Total Reward: 0.0
[30 06:00:12 130@hack.py:Hack] Episode 143/1000, Total Reward: -0.3200000000000001
[30 06:00:18 130@hack.py:Hack] Episode 144/1000, Total Reward: -0.17
[30 06:00:23 130@hack.py:Hack] Episode 145/1000, Total Reward: -0.26000000000000006
[30 06:00:29 130@hack.py:Hack] Episode 146/1000, Total Reward: -0.01
[30 06:00:34 130@hack.py:Hack] Episode 147/1000, Total Reward: -0.09999999999999999
[30 06:00:39 130@hack.py:Hack] Episode 148/1000, Total Reward: 0.0
[30 06:00:45 130@hack.py:Hack] Episode 149/1000, Total Reward: 0.0
[30 06:00:50 130@hack.py:Hack] Episode 150/1000, Total Reward: 0.0
[30 06:00:56 130@hack.py:Hack] Episode 151/1000, Total Reward: 0.0
[30 06:01:01 130@hack.py:Hack] Episode 152/1000, Total Reward: 0.0
[30 06:01:07 130@hack.py:Hack] Episode 153/1000, Total Reward: 0.0
[30 06:01:12 130@hack.py:Hack] Episode 154/1000, Total Reward: 0.0
[30 06:01:18 130@hack.py:Hack] Episode 155/1000, Total Reward: 0.0
[30 06:01:23 130@hack.py:Hack] Episode 156/1000, Total Reward: 0.0
[30 06:01:29 130@hack.py:Hack] Episode 157/1000, Total Reward: 0.0
[30 06:01:34 130@hack.py:Hack] Episode 158/1000, Total Reward: 0.0
[30 06:01:40 130@hack.py:Hack] Episode 159/1000, Total Reward: 0.0
[30 06:01:45 130@hack.py:Hack] Episode 160/1000, Total Reward: 0.0
[30 06:01:51 130@hack.py:Hack] Episode 161/1000, Total Reward: 0.0
[30 06:01:56 130@hack.py:Hack] Episode 162/1000, Total Reward: 0.0
[30 06:02:02 130@hack.py:Hack] Episode 163/1000, Total Reward: 0.0
[30 06:02:07 130@hack.py:Hack] Episode 164/1000, Total Reward: 0.0
[30 06:02:13 130@hack.py:Hack] Episode 165/1000, Total Reward: 0.0
[30 06:02:18 130@hack.py:Hack] Episode 166/1000, Total Reward: 0.0
[30 06:02:24 130@hack.py:Hack] Episode 167/1000, Total Reward: -0.18000000000000002
[30 06:02:29 130@hack.py:Hack] Episode 168/1000, Total Reward: 0.0
[30 06:02:35 130@hack.py:Hack] Episode 169/1000, Total Reward: 0.0
[30 06:02:41 130@hack.py:Hack] Episode 170/1000, Total Reward: 0.0
[30 06:02:46 130@hack.py:Hack] Episode 171/1000, Total Reward: 0.0
[30 06:02:50 130@hack.py:Hack] Episode 172/1000, Total Reward: 1.0
[30 06:02:56 130@hack.py:Hack] Episode 173/1000, Total Reward: 0.0
[30 06:03:01 130@hack.py:Hack] Episode 174/1000, Total Reward: 0.0
[30 06:03:07 130@hack.py:Hack] Episode 175/1000, Total Reward: 0.0
[30 06:03:12 130@hack.py:Hack] Episode 176/1000, Total Reward: 0.0
[30 06:03:18 130@hack.py:Hack] Episode 177/1000, Total Reward: 0.0
[30 06:03:23 130@hack.py:Hack] Episode 178/1000, Total Reward: -0.24000000000000007
[30 06:03:29 130@hack.py:Hack] Episode 179/1000, Total Reward: 0.0
[30 06:03:34 130@hack.py:Hack] Episode 180/1000, Total Reward: 0.0
[30 06:03:40 130@hack.py:Hack] Episode 181/1000, Total Reward: 0.0
[30 06:03:45 130@hack.py:Hack] Episode 182/1000, Total Reward: 0.0
[30 06:03:51 130@hack.py:Hack] Episode 183/1000, Total Reward: -0.09
[30 06:03:56 130@hack.py:Hack] Episode 184/1000, Total Reward: 0.0
[30 06:04:02 130@hack.py:Hack] Episode 185/1000, Total Reward: 0.0
[30 06:04:07 130@hack.py:Hack] Episode 186/1000, Total Reward: 0.0
[30 06:04:13 130@hack.py:Hack] Episode 187/1000, Total Reward: 0.0
[30 06:04:18 130@hack.py:Hack] Episode 188/1000, Total Reward: 0.0
[30 06:04:24 130@hack.py:Hack] Episode 189/1000, Total Reward: 0.0
[30 06:04:29 130@hack.py:Hack] Episode 190/1000, Total Reward: 0.0
[30 06:04:35 130@hack.py:Hack] Episode 191/1000, Total Reward: 0.0
[30 06:04:40 130@hack.py:Hack] Episode 192/1000, Total Reward: 0.0
[30 06:04:46 130@hack.py:Hack] Episode 193/1000, Total Reward: 0.0
[30 06:04:51 130@hack.py:Hack] Episode 194/1000, Total Reward: 1.0
[30 06:04:57 130@hack.py:Hack] Episode 195/1000, Total Reward: 0.0
[30 06:05:02 130@hack.py:Hack] Episode 196/1000, Total Reward: 0.0
[30 06:05:07 130@hack.py:Hack] Episode 197/1000, Total Reward: 0.0
[30 06:05:13 130@hack.py:Hack] Episode 198/1000, Total Reward: 0.0
[30 06:05:18 130@hack.py:Hack] Episode 199/1000, Total Reward: 0.0
[30 06:05:24 130@hack.py:Hack] Episode 200/1000, Total Reward: 0.0
[30 06:05:30 130@hack.py:Hack] Episode 201/1000, Total Reward: 0.0
[30 06:05:35 130@hack.py:Hack] Episode 202/1000, Total Reward: 0.0
[30 06:05:41 130@hack.py:Hack] Episode 203/1000, Total Reward: 0.0
[30 06:05:47 130@hack.py:Hack] Episode 204/1000, Total Reward: 0.0
[30 06:05:52 130@hack.py:Hack] Episode 205/1000, Total Reward: 0.0
[30 06:05:58 130@hack.py:Hack] Episode 206/1000, Total Reward: -0.24000000000000007
[30 06:06:03 130@hack.py:Hack] Episode 207/1000, Total Reward: 0.0
[30 06:06:09 130@hack.py:Hack] Episode 208/1000, Total Reward: 0.0
[30 06:06:13 130@hack.py:Hack] Episode 209/1000, Total Reward: 1.0
[30 06:06:18 130@hack.py:Hack] Episode 210/1000, Total Reward: 0.0
[30 06:06:24 130@hack.py:Hack] Episode 211/1000, Total Reward: 0.0
[30 06:06:29 130@hack.py:Hack] Episode 212/1000, Total Reward: -0.05
[30 06:06:35 130@hack.py:Hack] Episode 213/1000, Total Reward: 0.0
[30 06:06:40 130@hack.py:Hack] Episode 214/1000, Total Reward: 0.0
[30 06:06:46 130@hack.py:Hack] Episode 215/1000, Total Reward: 0.0
[30 06:06:51 130@hack.py:Hack] Episode 216/1000, Total Reward: 0.0
[30 06:06:56 130@hack.py:Hack] Episode 217/1000, Total Reward: 0.0
[30 06:07:02 130@hack.py:Hack] Episode 218/1000, Total Reward: 0.0
[30 06:07:07 130@hack.py:Hack] Episode 219/1000, Total Reward: 0.0
[30 06:07:13 130@hack.py:Hack] Episode 220/1000, Total Reward: 0.0
[30 06:07:18 130@hack.py:Hack] Episode 221/1000, Total Reward: -0.26000000000000006
[30 06:07:24 130@hack.py:Hack] Episode 222/1000, Total Reward: 0.0
[30 06:07:30 130@hack.py:Hack] Episode 223/1000, Total Reward: -0.22000000000000006
[30 06:07:35 130@hack.py:Hack] Episode 224/1000, Total Reward: 0.0
[30 06:07:41 130@hack.py:Hack] Episode 225/1000, Total Reward: 0.0
[30 06:07:47 130@hack.py:Hack] Episode 226/1000, Total Reward: 0.0
[30 06:07:52 130@hack.py:Hack] Episode 227/1000, Total Reward: 0.0
[30 06:07:58 130@hack.py:Hack] Episode 228/1000, Total Reward: 0.0
[30 06:08:04 130@hack.py:Hack] Episode 229/1000, Total Reward: -0.3200000000000001
[30 06:08:09 130@hack.py:Hack] Episode 230/1000, Total Reward: 0.0
[30 06:08:14 130@hack.py:Hack] Episode 231/1000, Total Reward: 0.0
[30 06:08:20 130@hack.py:Hack] Episode 232/1000, Total Reward: 0.0
[30 06:08:25 130@hack.py:Hack] Episode 233/1000, Total Reward: 0.0
[30 06:08:31 130@hack.py:Hack] Episode 234/1000, Total Reward: 0.0
[30 06:08:37 130@hack.py:Hack] Episode 235/1000, Total Reward: 0.0
[30 06:08:42 130@hack.py:Hack] Episode 236/1000, Total Reward: 0.0
[30 06:08:48 130@hack.py:Hack] Episode 237/1000, Total Reward: 0.0
[30 06:08:54 130@hack.py:Hack] Episode 238/1000, Total Reward: 0.0
[30 06:09:00 130@hack.py:Hack] Episode 239/1000, Total Reward: 0.0
[30 06:09:05 130@hack.py:Hack] Episode 240/1000, Total Reward: 0.0
[30 06:09:11 130@hack.py:Hack] Episode 241/1000, Total Reward: 0.0
[30 06:09:16 130@hack.py:Hack] Episode 242/1000, Total Reward: 0.0
[30 06:09:21 130@hack.py:Hack] Episode 243/1000, Total Reward: 0.0
[30 06:09:27 130@hack.py:Hack] Episode 244/1000, Total Reward: 0.0
[30 06:09:33 130@hack.py:Hack] Episode 245/1000, Total Reward: 0.0
[30 06:09:38 130@hack.py:Hack] Episode 246/1000, Total Reward: 0.0
[30 06:09:43 130@hack.py:Hack] Episode 247/1000, Total Reward: 0.0
[30 06:09:49 130@hack.py:Hack] Episode 248/1000, Total Reward: -0.20000000000000004
[30 06:09:55 130@hack.py:Hack] Episode 249/1000, Total Reward: 0.0
[30 06:10:00 130@hack.py:Hack] Episode 250/1000, Total Reward: 0.0
[30 06:10:06 130@hack.py:Hack] Episode 251/1000, Total Reward: 0.0
[30 06:10:12 130@hack.py:Hack] Episode 252/1000, Total Reward: -0.2700000000000001
[30 06:10:17 130@hack.py:Hack] Episode 253/1000, Total Reward: 0.0
[30 06:10:23 130@hack.py:Hack] Episode 254/1000, Total Reward: 0.0
[30 06:10:28 130@hack.py:Hack] Episode 255/1000, Total Reward: -0.22000000000000006
[30 06:10:34 130@hack.py:Hack] Episode 256/1000, Total Reward: 0.0
[30 06:10:39 130@hack.py:Hack] Episode 257/1000, Total Reward: 0.0
[30 06:10:45 130@hack.py:Hack] Episode 258/1000, Total Reward: 0.0
[30 06:10:51 130@hack.py:Hack] Episode 259/1000, Total Reward: 0.0
[30 06:10:57 130@hack.py:Hack] Episode 260/1000, Total Reward: 0.0
[30 06:11:02 130@hack.py:Hack] Episode 261/1000, Total Reward: 0.0
[30 06:11:08 130@hack.py:Hack] Episode 262/1000, Total Reward: 0.0
[30 06:11:13 130@hack.py:Hack] Episode 263/1000, Total Reward: 0.0
[30 06:11:19 130@hack.py:Hack] Episode 264/1000, Total Reward: 0.0
[30 06:11:25 130@hack.py:Hack] Episode 265/1000, Total Reward: -0.15
[30 06:11:30 130@hack.py:Hack] Episode 266/1000, Total Reward: -0.2700000000000001
[30 06:11:36 130@hack.py:Hack] Episode 267/1000, Total Reward: 0.0
[30 06:11:42 130@hack.py:Hack] Episode 268/1000, Total Reward: 0.0
[30 06:11:46 130@hack.py:Hack] Episode 269/1000, Total Reward: 1.0
[30 06:11:52 130@hack.py:Hack] Episode 270/1000, Total Reward: 0.0
[30 06:11:57 130@hack.py:Hack] Episode 271/1000, Total Reward: 0.0
[30 06:12:03 130@hack.py:Hack] Episode 272/1000, Total Reward: 0.0
[30 06:12:09 130@hack.py:Hack] Episode 273/1000, Total Reward: 0.0
[30 06:12:14 130@hack.py:Hack] Episode 274/1000, Total Reward: 0.0
[30 06:12:20 130@hack.py:Hack] Episode 275/1000, Total Reward: -0.24000000000000007
[30 06:12:25 130@hack.py:Hack] Episode 276/1000, Total Reward: 0.0
[30 06:12:32 130@hack.py:Hack] Episode 277/1000, Total Reward: 0.0
[30 06:12:38 130@hack.py:Hack] Episode 278/1000, Total Reward: 0.0
[30 06:12:43 130@hack.py:Hack] Episode 279/1000, Total Reward: 0.0
[30 06:12:50 130@hack.py:Hack] Episode 280/1000, Total Reward: 0.0
[30 06:12:56 130@hack.py:Hack] Episode 281/1000, Total Reward: -0.05
[30 06:13:02 130@hack.py:Hack] Episode 282/1000, Total Reward: 0.0
[30 06:13:07 130@hack.py:Hack] Episode 283/1000, Total Reward: 0.0
[30 06:13:13 130@hack.py:Hack] Episode 284/1000, Total Reward: 0.0
[30 06:13:19 130@hack.py:Hack] Episode 285/1000, Total Reward: 0.0
[30 06:13:24 130@hack.py:Hack] Episode 286/1000, Total Reward: -0.3000000000000001
[30 06:13:30 130@hack.py:Hack] Episode 287/1000, Total Reward: 0.0
[30 06:13:33 130@hack.py:Hack] Episode 288/1000, Total Reward: 1.0
[30 06:13:39 130@hack.py:Hack] Episode 289/1000, Total Reward: 0.0
[30 06:13:45 130@hack.py:Hack] Episode 290/1000, Total Reward: 0.0
[30 06:13:50 130@hack.py:Hack] Episode 291/1000, Total Reward: 0.0
[30 06:13:56 130@hack.py:Hack] Episode 292/1000, Total Reward: 0.0
[30 06:14:02 130@hack.py:Hack] Episode 293/1000, Total Reward: 0.0
[30 06:14:07 130@hack.py:Hack] Episode 294/1000, Total Reward: 0.0
[30 06:14:13 130@hack.py:Hack] Episode 295/1000, Total Reward: 0.0
[30 06:14:19 130@hack.py:Hack] Episode 296/1000, Total Reward: -0.11999999999999998
[30 06:14:25 130@hack.py:Hack] Episode 297/1000, Total Reward: 0.0
[30 06:14:31 130@hack.py:Hack] Episode 298/1000, Total Reward: 0.0
[30 06:14:37 130@hack.py:Hack] Episode 299/1000, Total Reward: 0.0
[30 06:14:42 130@hack.py:Hack] Episode 300/1000, Total Reward: 0.0
[30 06:14:48 130@hack.py:Hack] Episode 301/1000, Total Reward: 0.0
[30 06:14:54 130@hack.py:Hack] Episode 302/1000, Total Reward: 0.0
[30 06:15:00 130@hack.py:Hack] Episode 303/1000, Total Reward: 0.0
[30 06:15:05 130@hack.py:Hack] Episode 304/1000, Total Reward: 0.0
[30 06:15:11 130@hack.py:Hack] Episode 305/1000, Total Reward: 0.0
[30 06:15:16 130@hack.py:Hack] Episode 306/1000, Total Reward: 0.0
[30 06:15:22 130@hack.py:Hack] Episode 307/1000, Total Reward: -0.3000000000000001
[30 06:15:28 130@hack.py:Hack] Episode 308/1000, Total Reward: 0.0
[30 06:15:34 130@hack.py:Hack] Episode 309/1000, Total Reward: 0.0
[30 06:15:39 130@hack.py:Hack] Episode 310/1000, Total Reward: 0.0
[30 06:15:45 130@hack.py:Hack] Episode 311/1000, Total Reward: 0.0
[30 06:15:50 130@hack.py:Hack] Episode 312/1000, Total Reward: 0.0
[30 06:15:56 130@hack.py:Hack] Episode 313/1000, Total Reward: 0.0
[30 06:16:01 130@hack.py:Hack] Episode 314/1000, Total Reward: -0.09999999999999999
[30 06:16:07 130@hack.py:Hack] Episode 315/1000, Total Reward: 0.0
[30 06:16:12 130@hack.py:Hack] Episode 316/1000, Total Reward: -0.13999999999999999
[30 06:16:18 130@hack.py:Hack] Episode 317/1000, Total Reward: 0.0
[30 06:16:23 130@hack.py:Hack] Episode 318/1000, Total Reward: 0.0
[30 06:16:28 130@hack.py:Hack] Episode 319/1000, Total Reward: 0.0
[30 06:16:34 130@hack.py:Hack] Episode 320/1000, Total Reward: -0.17
[30 06:16:40 130@hack.py:Hack] Episode 321/1000, Total Reward: 0.0
[30 06:16:45 130@hack.py:Hack] Episode 322/1000, Total Reward: 0.0
[30 06:16:51 130@hack.py:Hack] Episode 323/1000, Total Reward: 0.0
[30 06:16:56 130@hack.py:Hack] Episode 324/1000, Total Reward: 0.0
[30 06:17:02 130@hack.py:Hack] Episode 325/1000, Total Reward: 0.0
[30 06:17:08 130@hack.py:Hack] Episode 326/1000, Total Reward: 0.0
[30 06:17:13 130@hack.py:Hack] Episode 327/1000, Total Reward: -0.13999999999999999
[30 06:17:19 130@hack.py:Hack] Episode 328/1000, Total Reward: 0.0
[30 06:17:23 130@hack.py:Hack] Episode 329/1000, Total Reward: 1.0
[30 06:17:28 130@hack.py:Hack] Episode 330/1000, Total Reward: 0.0
[30 06:17:34 130@hack.py:Hack] Episode 331/1000, Total Reward: 0.0
[30 06:17:39 130@hack.py:Hack] Episode 332/1000, Total Reward: 0.0
[30 06:17:45 130@hack.py:Hack] Episode 333/1000, Total Reward: 0.0
[30 06:17:51 130@hack.py:Hack] Episode 334/1000, Total Reward: 0.0
[30 06:17:56 130@hack.py:Hack] Episode 335/1000, Total Reward: 0.0
[30 06:18:02 130@hack.py:Hack] Episode 336/1000, Total Reward: 0.0
[30 06:18:07 130@hack.py:Hack] Episode 337/1000, Total Reward: -0.01
[30 06:18:13 130@hack.py:Hack] Episode 338/1000, Total Reward: 0.0
[30 06:18:19 130@hack.py:Hack] Episode 339/1000, Total Reward: -0.3000000000000001
[30 06:18:24 130@hack.py:Hack] Episode 340/1000, Total Reward: 0.0
[30 06:18:30 130@hack.py:Hack] Episode 341/1000, Total Reward: 0.0
[30 06:18:35 130@hack.py:Hack] Episode 342/1000, Total Reward: 0.0
